hour,total_transactions,unique_wallets,avg_fee_lamports,total_fee_lamports,high_fee_tx_count,tx_zscore_3h,wallets_zscore_3h,fee_per_tx,high_fee_ratio,tx_pct_change,wallets_pct_change,fee_change,total_transactions_smooth,total_transactions_velocity,total_transactions_acceleration,total_transactions_ma_3h,total_transactions_std_3h,total_transactions_skew_3h,total_transactions_ma_6h,total_transactions_std_6h,total_transactions_skew_6h,total_transactions_ma_12h,total_transactions_std_12h,total_transactions_skew_12h,total_transactions_ma_24h,total_transactions_std_24h,total_transactions_skew_24h,unique_wallets_smooth,unique_wallets_velocity,unique_wallets_acceleration,unique_wallets_ma_3h,unique_wallets_std_3h,unique_wallets_skew_3h,unique_wallets_ma_6h,unique_wallets_std_6h,unique_wallets_skew_6h,unique_wallets_ma_12h,unique_wallets_std_12h,unique_wallets_skew_12h,unique_wallets_ma_24h,unique_wallets_std_24h,unique_wallets_skew_24h,fee_per_tx_smooth,fee_per_tx_velocity,fee_per_tx_acceleration,fee_per_tx_ma_3h,fee_per_tx_std_3h,fee_per_tx_skew_3h,fee_per_tx_ma_6h,fee_per_tx_std_6h,fee_per_tx_skew_6h,fee_per_tx_ma_12h,fee_per_tx_std_12h,fee_per_tx_skew_12h,fee_per_tx_ma_24h,fee_per_tx_std_24h,fee_per_tx_skew_24h,hour_sin,hour_cos,dow_sin,dow_cos,tx_wallet_ratio,fee_efficiency,whale_intensity,volume_regime,fee_regime,activity_regime,anomaly_score,cluster_id,is_anomaly,regime_label,regime_encoded,is_high_activity,is_fee_anomaly
2025-06-30 08:00:00+00:00,2833117,210460,46837.18,132695200542,1513999,0.3403364070724419,0.8068604758516275,46837.17634746465,0.5343933907424225,-0.0232722579061518,0.2226663258429577,-0.0273540943299055,2863449.3142857123,-67504.0,-357368.0,2853394.3333333335,41035.319291228865,1.6806807389900882,2780359.6666666665,155591.52003071364,-0.656884035110638,2875088.75,273667.1187483528,0.9288119829682366,2990393.7083333335,314682.7299501986,0.40155083606562236,197881.08571428555,38328.0,22865.0,197418.66666666666,21902.512123803677,-1.729477500186568,193774.0,38103.75888544379,0.7059245174880617,202527.0,36861.393992779376,0.3556801534068597,214746.54166666666,33558.837874343415,-0.2610576274414117,47220.75700678461,-1317.2202848427114,-4831.513546748305,47951.685766727176,1028.2508310598726,-0.8526582068471148,49048.997269403866,4593.381241999375,1.8644909705387591,56499.78455281752,10094.46363155883,0.5469373524401165,69107.40996316682,18273.834936501567,0.7060489289077282,0.8660254037844387,-0.4999999999999998,0.0,1.0,13.461482174844745,46837.15981544009,809071.059190637,1,1,2,1,0,0,normal,1,1,0
2025-06-30 09:00:00+00:00,2826445,209664,48863.48,138109950940,1557143,-0.6567350711242985,0.3217666978678166,48863.48432040956,0.5509192643055145,-0.0023550033408432,-0.0037821913902879,0.0432626387839747,2832377.8857142837,-6672.0,60832.0,2868163.3333333335,66563.79971375655,1.7124941786954977,2883256.6666666665,186736.10572427607,0.31365403828095506,2923117.5,314536.4619885506,0.6144628437063642,3012314.75,312426.74013546313,0.23789116496187696,225954.51428571413,-796.0,-39124.0,224877.66666666666,25664.57364409855,1.730176556985616,207189.66666666666,37668.27932713013,-0.17768330435724153,206970.0,38283.31853431732,0.025869396555940904,218998.91666666666,34902.152290575315,-0.2831192902522547,49167.103799707445,2026.3079729449091,3343.5282577876205,51211.30511049522,5908.886134144639,1.505731052060839,53438.76826087647,11146.826005985164,1.6965979491721324,56694.914976102446,10302.780675032544,0.5177278032967362,70049.04454882002,18934.75661949963,0.5717990715285325,0.7071067811865476,-0.7071067811865475,0.0,1.0,13.480766937734003,48863.46703244994,857860.0759784818,1,1,2,1,0,0,normal,1,0,0
2025-06-30 10:00:00+00:00,2944928,254509,57933.25,170609263790,1685375,1.1532494688821344,0.7786130455210605,57933.25466361147,0.5722975230633822,0.0419194429751861,0.2138898427960927,0.1856144916407918,2983478.5142857125,118483.0,125155.0,2985015.0,181956.0607921587,0.9432816594990157,2962801.6666666665,144265.20359070672,0.776959571661278,2971654.1666666665,314299.3778707998,0.23186126630083628,3030870.6666666665,303959.05930234946,0.13111535104878796,240307.7714285713,44845.0,45641.0,234625.66666666666,22849.739786994392,-0.9507201841667101,218684.66666666666,28599.742402103817,-0.5973290050891396,212990.16666666666,39697.010912967344,-0.3137993934788243,220072.375,34548.774941866104,-0.3790504722994531,60832.031716514815,9069.770343201912,7043.4623702570025,60333.64440502834,12839.754587881003,0.8118714379756662,56667.90840906862,10891.589125179842,0.870465166257742,59367.5711623748,14169.299067547887,0.965586388793513,70404.95864754544,19152.81281301061,0.5150410642452231,0.49999999999999994,-0.8660254037844387,0.0,1.0,11.570971671054183,57933.234991403864,964535.9379329478,1,2,3,1,2,0,normal,1,1,0
2025-06-30 11:00:00+00:00,3183672,239704,74204.19,236241815456,1894551,1.091785561498378,0.1334417367709111,74204.194231064,0.5950836015770469,0.081069554162275,-0.0581708308939958,0.2808566755705921,3074201.142857141,238744.0,120261.0,3072209.0,120155.44609795995,-0.5821407633024064,3059448.6666666665,249866.6141801823,0.9777247420110478,3045651.1666666665,316076.63693789765,-0.009161344284703471,3046201.2916666665,310824.7813822832,0.014703184820322176,240595.34285714268,-14805.0,-59650.0,239950.66666666666,14436.580562354535,0.07686556680201864,233713.5,22226.623879933355,0.15220531318961653,217684.33333333334,37233.38917578091,-0.6491054470341696,220814.29166666666,34944.24856511894,-0.4147559099162234,67604.8583730555,16270.93956745253,7201.169224250618,65384.131051410055,8221.427671345651,0.7286392266487637,60424.90858079018,11249.55016506173,-0.0681266514728205,63884.51950134921,19097.240399993807,1.058293968385688,71863.21638093745,21197.797929887613,0.6130652607323356,0.258819045102521,-0.9659258262890682,0.0,1.0,13.281625331136189,74204.17092333289,1127416.2324513958,2,3,3,1,2,0,normal,1,1,0
2025-06-30 12:00:00+00:00,3088027,225639,64014.94,197679876277,1816865,0.1316461343508637,-0.3760630763543849,64014.94425955472,0.5883578738139271,-0.0300423536092914,-0.0586765343924172,-0.1373136746051672,3239477.9714285694,-95645.0,-334389.0,3250734.0,204651.74450026013,1.316255908630932,3156709.5,257603.66352732922,0.09987576276206508,3127989.8333333335,308454.2719593479,-0.0969492984393218,3065273.7916666665,315344.0839013179,-0.1343412466094448,239118.77142857126,-14065.0,740.0,242549.33333333334,18497.86015552479,0.6758106759512331,239041.66666666666,19157.309640622527,-0.48782376967938557,225846.91666666666,33830.062366476755,-1.0156907318302333,220579.0,34910.9510961074,-0.39433916981249484,70000.44178880902,-10189.249971509278,-26460.189538961808,69638.51205108513,5176.344774145431,-0.8812502440448219,63910.152997195335,9261.6514625635,-0.8157355146166891,66973.77523346884,19267.99830140139,0.6527941204720513,73413.05745961556,22350.73146871817,0.47625335538233576,1.2246467991473532e-16,-1.0,0.0,1.0,13.68563641198369,64014.92352951463,1068966.8284069407,2,3,3,1,1,0,normal,1,0,0
2025-06-30 13:00:00+00:00,3480503,262305,70696.4,246059024154,1979663,1.1227316950611577,0.5191133188842515,70696.3976626367,0.5687864656344213,0.1270960389918871,0.1624985042479358,0.1043734478232736,3370355.6857142835,392476.0,488121.0,3328404.0,210604.14669944122,-1.5548321586352838,3225168.3333333335,200540.43224115207,-0.03670002800279908,3180808.4166666665,262707.96903352806,-0.04924394595874166,3095094.9166666665,315660.2045818989,-0.30480470461205345,245525.91428571413,36666.0,50731.0,243457.66666666666,18354.631713367373,0.2514057877181977,246513.33333333334,13234.689670207117,-0.5852159564929759,232195.08333333334,25882.655984473804,-1.0852390979554911,221557.91666666666,34623.15426054212,-0.4861315749820448,65414.50522724192,6681.4534030819705,16870.70337459125,67486.6615893623,3348.422095326612,-0.3499256821481529,70815.21338176962,11068.05165248044,1.0949055728583712,71127.6330678794,19388.16509613003,0.33504199479279384,74088.24187639762,22324.96700626144,0.38347613064051184,-0.2588190451025208,-0.9659258262890683,0.0,1.0,13.268865370978933,70696.37735052165,1126005.5209172352,4,3,4,1,2,0,normal,1,1,0
2025-06-30 14:00:00+00:00,3416682,242429,67748.64,231475568536,1966407,0.4191655358333655,-0.0270299441860864,67748.64284589552,0.5755311732259543,-0.0183367174227403,-0.0757743847810754,-0.0416960410996881,3401520.0857142834,-63821.0,-456297.0,3378127.6666666665,126151.33063243159,-1.2468320514996767,3310942.6666666665,163309.69316200493,-0.28921202574240057,3223881.5,254848.21351274496,-0.436347469361566,3100729.1666666665,314291.67877206067,-0.3634549966892892,256313.5142857141,-19876.0,-56542.0,253076.0,10013.585122223443,-0.6244560286909534,241594.66666666666,15030.94991897346,0.21102862028509006,239519.33333333334,18810.33081403267,-0.40146492193577143,221766.875,34645.23992438931,-0.5046818362980058,73585.09579340511,-2947.7548167411733,-9629.208219823144,76246.29571212917,12254.492223766154,1.6199856151788106,78720.04173329455,15906.867101603595,1.144280386599029,76352.91585533782,21015.109770358933,0.22751622101232358,75005.66215470668,22337.115429400546,0.2598675624816017,-0.4999999999999997,-0.8660254037844388,0.0,1.0,14.093478529884916,67748.62301711923,1131728.527749729,4,3,3,1,1,0,normal,1,0,0
2025-06-30 15:00:00+00:00,3237198,254494,90293.85,292299059716,1773829,-1.1171476825503703,0.0372603313569711,90293.84662785532,0.5479519633955043,-0.0525316666871543,0.0497671483197141,0.3327773074116322,3326939.0571428547,-179484.0,-115663.0,3371151.3333333335,117972.67713048242,-1.478050769777538,3372723.0,175214.54076874332,-0.9804731220521676,3257245.25,223293.7992479176,-0.6063014332283284,3112192.125,309359.9242339334,-0.4741509700152497,239346.057142857,12065.0,31941.0,240640.0,14829.654176683252,-0.5349645603398796,244504.16666666666,16233.251361532213,-0.3843787406925372,245169.66666666666,19460.22315733683,-0.21568320929392376,223143.875,33940.551366627406,-0.6273893849184665,89869.33428304328,22545.203781959804,25492.958598700978,87801.57141550396,18930.239384192486,-0.5821818624103586,80508.78220606122,15900.929085778691,0.6615816741988614,80232.47441815153,19297.948358576603,0.024859947022514622,75138.45562712736,22286.988316518284,0.24478446996810718,-0.7071067811865471,-0.7071067811865479,0.0,1.0,12.72008487396609,90293.81873527083,971973.083277884,3,4,3,1,1,0,normal,1,0,1
2025-06-30 16:00:00+00:00,3459574,224997,105362.22,364508413406,1957762,0.7495181835101323,-0.4110460954986594,105362.22477276104,0.565896841634259,0.0686939754689086,-0.1159045006954977,0.1668814653489689,3437931.314285712,222376.0,401860.0,3417042.0,162799.60181769403,-1.095400034253359,3398815.1666666665,130218.80474711901,-0.45548430303151605,3280831.9166666665,185381.57076074407,-0.20647832471639815,3129086.5416666665,293982.1451514054,-0.5623877226110379,243970.88571428554,-29497.0,-41562.0,245550.66666666666,17849.877655977107,-1.6886521523951132,245705.5,14757.56117724133,-0.40005593370695314,246152.83333333334,17723.90484286133,0.13052197183135947,224310.125,32940.50844531534,-0.7143167306496117,97349.10013701417,15068.378144905713,-7476.825637054091,93530.90282276012,10590.564568585627,1.2469454842794674,85587.35772669018,14372.008828835123,-0.04415954052802283,83300.45832312161,16594.694906792545,0.10597767134045212,75301.32096322242,22171.97913850759,0.23606135226472302,-0.8660254037844384,-0.5000000000000004,0.0,1.0,15.376021120187735,105362.1943175101,1107891.3324715702,4,4,2,1,1,0,normal,1,1,0
2025-06-30 17:00:00+00:00,3554354,257161,84936.64,301894875708,2062596,0.8434418663613471,0.3050810064632491,84936.63706766405,0.580301230547098,0.0273964366711045,0.1429530171513398,-0.1938605697564079,3454565.0857142834,94780.0,-127596.0,3419502.6666666665,158727.01907782757,-1.063640978549558,3388314.3333333335,124739.10909681971,-0.22153770678831808,3314957.1666666665,152744.76218952407,-0.015604137038131101,3142888.8333333335,273750.96201056143,-0.4878722954048575,237780.39999999985,32164.0,61661.0,238335.0,16769.595463219135,1.3149451133245658,245325.16666666666,14265.39550684408,-0.49226497341217923,245535.08333333334,17534.354572243792,0.2498990236774902,225990.625,30946.846777369403,-0.7693936548500648,92532.89673983914,-20425.587705096987,-35493.9658500027,94928.4197412512,10219.965562482594,0.19426481552738256,92280.92312988547,15367.526423109348,-0.5379878882089864,88118.28016880092,16949.05904355169,0.17718123316800197,75570.51985911524,21903.709606933513,0.2431784229791656,-0.9659258262890683,-0.25881904510252063,0.0,1.0,13.821458846952504,84936.61317116607,1196926.9969215223,4,4,4,1,1,0,normal,1,1,0
